loan_id,amount,gender,district_name,using_time,age,num_trans_be4_loan,total_deposit_be4_loan,total_withdrawal_be4_loan,avg_balance_be4_loan,debit_payment_purpose,avg_salary,unemployment_rate,status,customer_segment
4959,80952,F,Hl.m. Praha,6,59,108.0,457374.0,-306040.0,32590.7593,loan payment,12215.5,0.2,A,2
4959,80952,M,Hl.m. Praha,6,54,108.0,457374.0,-306040.0,32590.7593,loan payment,12215.5,0.2,A,2
4961,30276,F,Tabor,4,60,80.0,242180.0,-198020.0,25197.1375,loan payment,9104.0,1.5,B,2
4962,30276,M,Frydek - Mistek,3,37,547.5,2513941.5,-2041937.5,62991.4085,loan payment,9893.0,4.0,A,2
4973,165960,F,Jindrichuv Hradec,5,55,375.0,2439726.0,-2041937.5,52523.336,loan payment,8427.0,1.1,A,2
4986,102876,F,Ostrava - mesto,3,63,547.5,1530285.0,-1327720.0,33057.4576,household,10673.0,4.7,A,2
4986,102876,M,Ostrava - mesto,3,57,547.5,1530285.0,-1327720.0,33057.4576,household,10673.0,4.7,A,2
4996,88440,F,Teplice,3,54,31.0,269642.0,-175400.0,62778.0968,loan payment,9317.0,6.4,A,2
4996,88440,M,Teplice,3,61,31.0,269642.0,-175400.0,62778.0968,loan payment,9317.0,6.4,A,2
5002,104808,F,Zdar nad Sazavou,6,54,150.0,568235.0,-428155.0,38709.7,household,8512.0,3.5,A,2
5002,104808,M,Zdar nad Sazavou,6,60,150.0,568235.0,-428155.0,38709.7,household,8512.0,3.5,A,2
5005,27456,M,Novy Jicin,3,32,300.0,1842612.0,-1553060.0,48780.0933,loan payment,8678.0,5.9,A,2
5032,123696,M,Breclav,6,59,183.0,857007.0,-630456.0,49084.5082,loan payment,8772.0,4.6,A,2
5045,187224,M,Hl.m. Praha,6,52,88.0,502144.0,-361480.0,42084.3864,loan payment,12215.5,0.2,B,2
5088,91152,M,Ceska Lipa,4,57,77.0,383630.0,-312450.0,44829.5974,loan payment,9272.0,2.8,A,2
5103,12540,F,Plzen - jih,3,59,547.5,1386872.0,-1168640.0,41922.125,household,8561.0,0.6,A,2
5103,12540,M,Plzen - jih,3,63,547.5,1386872.0,-1168640.0,41922.125,household,8561.0,0.6,A,2
5117,76944,F,Hl.m. Praha,3,43,440.0,1949528.0,-1474428.0,40141.8636,loan payment,12215.5,0.2,A,2
5126,208128,M,Brno - mesto,6,48,64.0,342886.0,-240420.0,36370.0,loan payment,9897.0,1.6,B,2
5130,24312,F,Jindrichuv Hradec,6,44,78.0,207261.0,-99465.0,29380.8846,loan payment,8427.0,1.1,A,2
5131,48624,M,Teplice,6,38,234.0,1473150.0,-1324496.0,63857.2991,loan payment,9317.0,6.4,A,2
5134,53076,M,Prachatice,3,51,130.0,406996.0,-364870.0,33129.4769,household,8402.0,3.1,A,2
5136,187104,F,Olomouc,3,22,25.0,288708.0,-201830.0,66292.68,loan payment,8994.0,3.8,A,2
5161,98184,F,Znojmo,5,54,14.0,99656.0,-30700.0,41660.2857,loan payment,8403.0,5.7,A,2
5176,192552,F,Strakonice,6,36,51.0,158359.0,-116980.0,23979.0588,loan payment,8547.0,2.6,B,2
5189,149040,F,Praha - zapad,6,31,108.0,379864.0,-326920.0,36845.8519,loan payment,9622.0,0.4,A,2
5212,71064,F,Louny,5,53,258.0,678741.0,-584556.0,34577.2791,household,8965.0,7.0,A,2
5229,23520,F,Blansko,3,55,189.0,443118.0,-372444.0,25967.619,loan payment,8240.0,2.5,A,2
5229,23520,M,Blansko,3,58,189.0,443118.0,-372444.0,25967.619,loan payment,8240.0,2.5,A,2
5237,45336,M,Prachatice,5,42,180.0,723322.0,-643650.0,48153.0111,household,8402.0,3.1,A,2
5269,164052,F,Tachov,6,24,65.0,394207.0,-280500.0,41752.1077,loan payment,8930.0,3.5,B,2
5285,78936,F,Tachov,6,42,153.0,286221.0,-212418.0,25900.3137,household,8930.0,3.5,A,2
5310,240516,F,Plzen - sever,6,59,480.0,1391024.0,-1226608.0,36063.8583,household,8594.0,1.6,A,2
5314,96396,F,Sokolov,6,52,4.0,20100.0,0.0,12250.0,loan payment,9650.0,3.3,B,2
5316,165960,M,Nachod,6,31,148.0,919576.0,-656016.0,52083.9189,loan payment,8369.0,1.7,A,2
5325,105804,F,Ceske Budejovice,6,59,50.0,240620.0,-172036.0,41297.64,loan payment,10045.0,1.4,A,2
